"method","n","regret_mean","regret_se","near_optimal_mean","near_optimal_se","dose_distance_mean","dose_distance_se","rpsel_mean","rpsel_se","pmad_mean","pmad_se","unique_doses_mean","unique_doses_se","total_cost_mean","total_cost_se","n_replicates"
"CA-AB-GP",108,0.0917582998425697,0.00388383429422865,0.895161290322581,0.00684766655200114,0.879955548420859,0.00873796806875327,0.174416072013426,0.00295692486600924,0.117470607618858,0.00321993695391421,12.4415322580645,0.0986475595826492,294.622983870968,1.47971339373974,992
"CA-AB-GP",110,0.0892611121308115,0.00364242715895574,0.90070564516129,0.0065339268134309,0.874843584900833,0.00851763234101749,0.171728884263413,0.00277055272908855,0.115770246570653,0.00304330208959786,12.5574596774194,0.0997759852037781,298.36189516129,1.49663977805667,992
"CA-AB-GP",112,0.0877727868013135,0.00378210379358732,0.90625,0.0064407672205954,0.875305170973865,0.00860838092834938,0.170115526606358,0.00286897639218811,0.114205763022039,0.00314368038535041,12.6844758064516,0.101190792456822,302.267137096774,1.51786188685233,992
"CA-AB-GP",114,0.0840744527030226,0.00345603265753711,0.907258064516129,0.00633619415614439,0.864019753619651,0.00843133042607364,0.168013556339829,0.00277955076712271,0.112355104525154,0.00303611306449184,12.8195564516129,0.1027096820962,306.293346774194,1.540645231443,992
"CA-AB-GP",116,0.0827403292953106,0.0033586341163865,0.908266129032258,0.00627038988252308,0.861166385851382,0.00853490649871202,0.166128376024616,0.00261776193395161,0.110725648480853,0.00288226957205436,12.9405241935484,0.104120158962712,310.107862903226,1.56180238444067,992
"CA-AB-GP",118,0.0839795620203575,0.00341168268382387,0.907258064516129,0.00633619415614439,0.859150256819124,0.00862242512182689,0.163436607191822,0.00254275783659405,0.107625712994097,0.00279812206580445,13.0655241935484,0.105108312535586,313.982862903226,1.57662468803379,992
"CA-AB-GP",120,0.0816849779797268,0.00338644771627804,0.911290322580645,0.0061921411583677,0.855881465803883,0.00877592006753907,0.161152383188156,0.00245769788879287,0.10590304329272,0.00271616608259171,13.1864919354839,0.106453429818975,317.797379032258,1.59680144728462,992
"IND-GP",20,0.181685964489155,0.00826368491009932,0.8925,0.00683670172601456,1.17974925907319,0.012580395870969,0.638329967965275,0.00623574734704832,0.500257646651622,0.00776602735288139,5,0,95,0,1000
"IND-GP",22,0.226648288889774,0.00870626224847062,0.8075,0.00879039367838671,1.19566789670215,0.0138440000255944,0.631789435555195,0.00650559104892409,0.508264289722799,0.00801896352150206,5.906,0.00923305200078767,110.59,0.138495780011815,1000
"IND-GP",24,0.270343623887384,0.0090541773511079,0.738,0.00989716898683426,1.21914535473797,0.0146352178743282,0.618907825654003,0.00643511320863966,0.504453155602513,0.00786130626554804,6.724,0.0160025023068294,124.86,0.240037534602441,1000
"IND-GP",26,0.296515228163719,0.00933255165155915,0.6995,0.010274011159489,1.22896979066741,0.0149984521139907,0.600169159002374,0.00633796546867196,0.495308125364847,0.00760539280957141,7.422,0.0227691553298412,137.33,0.341537329947618,1000
"IND-GP",28,0.31232344505332,0.00938345222194888,0.682,0.0104635312149143,1.22978869061368,0.0153306647550954,0.584660575291371,0.00612904979474348,0.487688901200205,0.00728918629843712,8.049,0.0279889689410379,148.735,0.419834534115568,1000
"IND-GP",30,0.315496572306966,0.00937392726047952,0.685,0.0105064449451461,1.2106383102172,0.0158347152564071,0.562125498945524,0.00600102485394396,0.46820647310463,0.0071152613149549,8.58,0.0323519187475279,158.7,0.485278781212918,1000
"IND-GP",32,0.319476705784335,0.00925850577363431,0.68,0.0105456726296245,1.20229428980695,0.0157135072928851,0.548792675756642,0.00593392264497172,0.459968977305698,0.00695105763156036,9.094,0.036145130660581,168.41,0.542176959908715,1000
